SAMEA118265150	.0274	lineage4.4.1.1
SAMEA118265849	.0209	La1.7.1
SAMD00025185	.0269	lineage4.5
SAMD00025186	.0253	lineage2.2.2
SAMD00026324	.0243	lineage2.2.1
SAMD00117790	.0238	lineage1.2.1.2
SAMD00117792	.0268	lineage2.2.1.1
SAMD00117937	.0238	None
SAMD00142421	.0257	lineage2.1
SAMD00142446	.0295	lineage2.2.1
SAMD00142582	.0276	lineage2.2.1
SAMD00142653	.0300	lineage2.2.1
SAMD00142723	.0248	lineage2.2.1
SAMD00142734	.0280	lineage2.2.1
SAMD00142883	.0274	lineage2.2.1
SAMD00142935	.0220	lineage4.9
SAMD00142944	.0275	lineage4.5
SAMD00178988	.0250	lineage2.2.1
SAMD00179038	.0267	lineage2.2.1
SAMD00179040	.0261	lineage2.2.1
SAMD00179094	.0274	lineage2.2.1
SAMD00179095	.0198	lineage2.2.1
SAMD00179115	.0291	lineage2.2.1
SAMD00263653	.0282	lineage2.2.1
SAMD00263654	.0285	lineage2.1
SAMD00263656	.0295	lineage2.2.1
SAMD00263657	.0159	lineage4.8
SAMD00263658	.0285	lineage2.2.1
SAMD00263717	.0220	lineage4.1
SAMD00263719	.0255	lineage2.2.1
SAMD00263725	.0202	lineage2.2.1
SAMD00263732	.0219	lineage1.1.1.1
SAMD00263734	.0256	lineage2.2.1
SAMD00263736	.0245	lineage2.2.2
SAMD00263738	.0125	lineage1.1.1.1
SAMD00263743	.0275	lineage4.1.2.1
SAMD00263746	.0201	lineage2.2.1
SAMD00263751	.0200	lineage1.1.1.1
SAMD00263754	.0219	lineage2.2.1
SAMD00263758	.0212	lineage2.2.1
SAMD00263759	.0243	lineage2.2.1
SAMD00263763	.0187	lineage1.1.1.1
SAMD00263765	.0189	lineage2.2.1
SAMD00263766	.0148	lineage1.1.1.1
SAMD00263768	.0233	lineage2.2.1
SAMD00263772	.0147	lineage1.1.1.1
SAMD00263773	.0294	lineage2.2.1.1
SAMD00263774	.0118	lineage1.1.1.1
SAMD00263775	.0220	lineage2.2.1
SAMD00603860	.0295	lineage2.2.1
SAMD00603984	.0291	lineage2.2.1
SAMEA104093412	.0236	La1.8.1
SAMEA104093414	.0222	La1.8.1
SAMEA104093421	.0244	La1.8.1
SAMEA104093425	.0297	La1.8.1
SAMEA104093432	.0279	La1.8.1
SAMEA104093437	.0279	La1.8.1
SAMEA104093445	.0252	La1.8.1
SAMEA104093449	.0272	La1.8.1
SAMEA104093451	.0285	La1.8.1
SAMEA104093452	.0300	La1.8.1
SAMEA104093456	.0289	La1.8.1
SAMEA104093467	.0262	La1.8.1
SAMEA104112300	.0228	La1.8.1
SAMEA104112307	.0274	La1.8.1
SAMEA104112311	.0246	La1.8.1
SAMEA104112313	.0259	La1.8.1
SAMEA104112315	.0276	La1.8.1
SAMEA104112317	.0270	La1.8.1
SAMEA104112320	.0289	La1.8.1
SAMEA104112322	.0263	La1.8.1
SAMEA104112323	.0266	La1.8.1
SAMEA104112330	.0277	La1.8.1
SAMEA104394423	.0254	La1.7.1
SAMEA104394653	.0283	La1.4
SAMEA104555688	.0270	La1.8.1
SAMEA104555690	.0276	La1.8.1
SAMEA104555711	.0299	La1.8.1
SAMEA104555734	.0261	La1.8.1
SAMEA104600275	.0300	lineage2.2.1
SAMEA104600278	.0256	lineage2.2.1
SAMEA1101338	.0259	La2
SAMEA1117913	.0291	La1.8.1
SAMEA1118137	.0245	La1.8.1
SAMEA1118215	.0288	La1.8.1
SAMEA1119325	.0292	La1.8.1
SAMEA112181280	.0262	lineage4.9
SAMEA112181315	.0167	lineage1.2.2.2
SAMEA112799056	.0260	La1.4
SAMEA112799610	.0282	La1.2
SAMEA112801268	.0283	La1.4
SAMEA112801763	.0290	La1.8.1
SAMEA112802123	.0289	La1
SAMEA112803146	.0265	La1.8.2
SAMEA112803162	.0299	La1.3
SAMEA112803375	.0297	La1.2.BCG
SAMEA112803601	.0270	La1.7.1
SAMEA112803768	.0269	La1.2
SAMEA112803995	.0300	La1.5
SAMEA112804000	.0258	La1.2
SAMEA112804045	.0273	La1.2
SAMEA112804303	.0277	La1.7.1
SAMEA112804331	.0280	La1.2
SAMEA112804690	.0200	La1.7.X-unk4
SAMEA112804808	.0222	La1.4
SAMEA112805219	.0228	La1.7.X-unk4
SAMEA112805909	.0277	La1.8.1
SAMEA112806041	.0288	La1.4
SAMEA112954312	.0217	La1.6
SAMEA112954313	.0182	La1.6
SAMEA112954314	.0250	La1.6
SAMEA112954315	.0178	La1.6
SAMEA112954317	.0241	La1.6
SAMEA112954318	.0292	La1.6
SAMEA112954319	.0236	La1.6
SAMEA112954321	.0227	La1.6
SAMEA112954322	.0265	La1.6
SAMEA112954323	.0257	La1.6
SAMEA112954324	.0181	La1.6
SAMEA112954325	.0197	La1.6
SAMEA112954326	.0260	La1.6
SAMEA112954327	.0180	La1.6
SAMEA112954328	.0221	La1.6
SAMEA112954329	.0190	La1.6
SAMEA112954330	.0242	La1.6
SAMEA112954331	.0199	La1.6
SAMEA112954332	.0257	La1.6
SAMEA112954337	.0300	La1.6
SAMEA112954338	.0162	La1.6
SAMEA112954339	.0175	La1.6
SAMEA112954340	.0244	La1.6
SAMEA112954343	.0256	La1.6
SAMEA112954344	.0257	La1.6
SAMEA112954346	.0205	La1.6
SAMEA112954347	.0175	La1.6
SAMEA112954348	.0212	La1.6
SAMEA112954349	.0260	La1.6
SAMEA112954350	.0274	La1.6
SAMEA112954352	.0297	La1.6
SAMEA112954353	.0195	La1
SAMEA112954354	.0185	La1.6
SAMEA112954355	.0226	La1.6
SAMEA112954356	.0213	La1.6
SAMEA112954357	.0205	La1.6
SAMEA112954358	.0190	La1.6
SAMEA112954359	.0280	La1.6
SAMEA112954360	.0203	La1.6
SAMEA112954361	.0224	La1.6
SAMEA112954362	.0259	La1.6
